"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"21.04.2021","289,25","288,01","290,20","287,06","49,79M","0,64%"
"20.04.2021","287,42","288,90","290,92","286,59","63,20M","-0,10%"
"19.04.2021","287,72","287,86","289,25","286,04","51,33M","-0,27%"
"16.04.2021","288,50","285,71","289,30","284,08","63,50M","1,68%"
"15.04.2021","283,72","281,50","285,19","280,87","88,05M","-1,20%"
"14.04.2021","287,18","290,00","291,58","286,72","59,36M","-0,27%"
"13.04.2021","287,95","282,93","288,20","281,14","67,97M","2,20%"
"12.04.2021","281,75","278,20","285,35","278,00","57,18M","0,24%"
"09.04.2021","281,07","283,47","283,79","280,09","40,03M","-0,99%"
"08.04.2021","283,89","284,88","286,20","282,17","51,29M","-0,03%"
"07.04.2021","283,98","281,68","284,29","278,54","74,15M","0,88%"
"06.04.2021","281,50","289,00","289,43","281,37","77,53M","-2,52%"
"05.04.2021","288,78","290,80","291,48","287,07","35,36M","-1,00%"
"02.04.2021","291,70","290,81","292,40","289,14","19,28M","0,50%"
"01.04.2021","290,24","292,00","294,72","288,43","51,60M","-0,27%"
"31.03.2021","291,02","294,00","294,42","290,26","47,00M","-0,76%"
"30.03.2021","293,25","294,86","295,72","291,50","38,81M","-0,02%"
"29.03.2021","293,30","289,72","294,09","289,26","43,68M","0,71%"
"26.03.2021","291,22","288,63","292,75","288,32","56,07M","1,59%"
"25.03.2021","286,66","286,50","287,03","283,85","35,22M","0,30%"
"24.03.2021","285,79","283,40","288,00","282,25","46,41M","1,13%"
"23.03.2021","282,60","287,56","288,30","282,11","70,76M","-2,10%"
"22.03.2021","288,65","285,00","291,20","283,08","62,76M","1,11%"
"19.03.2021","285,47","279,00","286,31","278,03","84,25M","2,23%"
"18.03.2021","279,25","284,04","285,79","278,24","74,13M","-1,45%"
"17.03.2021","283,35","292,35","293,25","279,60","110,29M","-3,07%"
"16.03.2021","292,33","293,06","293,88","288,61","53,92M","-0,14%"
"15.03.2021","292,74","286,05","292,92","285,28","67,81M","2,74%"
"12.03.2021","284,93","286,30","287,49","282,82","51,54M","-0,37%"
"11.03.2021","286,00","283,84","286,38","282,30","47,37M","1,33%"
"10.03.2021","282,24","285,24","288,00","281,00","55,16M","-1,24%"
"09.03.2021","285,79","278,80","286,38","277,56","72,79M","2,99%"
"05.03.2021","277,50","276,00","278,98","272,76","83,55M","1,00%"
"04.03.2021","274,75","278,50","281,96","273,63","91,99M","-1,17%"
"03.03.2021","278,01","281,70","283,83","277,63","64,28M","-0,39%"
"02.03.2021","279,10","271,89","280,00","271,60","71,57M","2,02%"
"01.03.2021","273,58","273,00","274,73","271,13","35,96M","1,26%"
"26.02.2021","270,17","268,00","272,49","266,43","74,89M","-0,20%"
"25.02.2021","270,71","273,60","276,48","270,65","79,72M","-0,44%"
"24.02.2021","271,90","272,12","272,75","269,42","64,19M","-0,66%"
"22.02.2021","273,71","270,10","274,46","268,12","48,13M","1,18%"
"20.02.2021","270,51","271,00","271,00","269,02","8,76M","-0,31%"
"19.02.2021","271,34","266,12","272,81","264,19","59,27M","1,63%"
"18.02.2021","266,99","270,35","272,46","266,21","58,73M","-1,44%"
"17.02.2021","270,90","270,99","275,07","267,56","79,10M","0,00%"
"16.02.2021","270,90","272,30","272,80","268,27","63,10M","-0,33%"
"15.02.2021","271,81","268,49","271,87","267,07","56,95M","2,18%"
"12.02.2021","266,00","264,00","266,44","258,55","81,66M","0,49%"
"11.02.2021","264,70","265,50","266,90","263,75","38,67M","-0,45%"
"10.02.2021","265,90","269,28","270,99","265,20","63,09M","-1,15%"
"09.02.2021","268,98","275,99","276,29","267,19","91,92M","-2,26%"
"08.02.2021","275,20","273,01","275,58","272,32","51,88M","1,29%"
"05.02.2021","271,70","271,99","272,57","268,87","71,81M","0,59%"
"04.02.2021","270,11","263,21","270,60","262,34","78,93M","2,50%"
"03.02.2021","263,53","264,32","268,14","261,05","77,65M","0,14%"
"02.02.2021","263,15","265,00","268,39","263,05","79,53M","-0,25%"
"01.02.2021","263,80","260,00","264,06","258,73","63,13M","2,20%"
"29.01.2021","258,11","263,77","264,75","257,36","120,12M","-2,95%"
"28.01.2021","265,96","263,50","267,17","261,17","81,25M","0,17%"
"27.01.2021","265,50","270,07","273,80","265,02","100,09M","-1,43%"
"26.01.2021","269,34","262,70","269,57","262,61","75,23M","1,52%"
"25.01.2021","265,30","271,00","273,63","261,65","114,33M","-1,10%"
"22.01.2021","268,25","273,00","273,30","266,78","87,01M","-2,24%"
"21.01.2021","274,40","280,75","281,54","272,84","83,80M","-1,93%"
"20.01.2021","279,80","278,62","282,49","276,77","47,94M","0,58%"
"19.01.2021","278,19","280,98","282,80","276,42","56,00M","-0,57%"
"18.01.2021","279,79","275,72","281,30","272,95","73,94M","1,04%"
"15.01.2021","276,90","282,55","286,16","276,00","73,77M","-2,77%"
"14.01.2021","284,79","284,00","286,90","279,06","74,67M","0,36%"
"13.01.2021","283,78","291,01","292,46","283,10","67,56M","-2,14%"
"12.01.2021","289,99","290,88","296,07","286,70","78,96M","0,17%"
"11.01.2021","289,49","282,86","292,95","279,48","112,35M","2,06%"
"08.01.2021","283,64","275,11","283,99","275,11","88,93M","3,92%"
"06.01.2021","272,93","275,94","275,94","271,62","40,95M","-0,82%"
"05.01.2021","275,20","272,69","275,70","270,28","45,58M","1,18%"
"04.01.2021","272,00","274,67","276,60","270,61","48,92M","0,13%"
"30.12.2020","271,65","272,49","274,24","270,12","31,53M","-0,13%"
"29.12.2020","272,00","275,91","276,43","271,26","39,02M","-0,98%"
"28.12.2020","274,70","270,90","275,19","269,73","39,04M","1,50%"
"25.12.2020","270,64","269,97","271,00","268,28","11,99M","0,49%"
"24.12.2020","269,32","271,98","272,82","267,13","42,61M","-0,29%"
"23.12.2020","270,10","262,25","270,29","260,22","67,94M","3,08%"
"22.12.2020","262,04","259,55","267,42","257,05","105,49M","0,10%"
"21.12.2020","261,79","266,20","267,34","259,70","120,52M","-3,10%"
"18.12.2020","270,16","277,22","277,40","268,52","99,27M","-2,99%"
"17.12.2020","278,50","279,81","285,16","276,54","92,14M","0,05%"
"16.12.2020","278,35","278,00","280,84","276,14","54,75M","-0,13%"
"15.12.2020","278,70","278,53","283,76","276,07","84,19M","-0,45%"
"14.12.2020","279,95","285,01","287,74","277,10","90,42M","-1,33%"
"11.12.2020","283,73","282,50","284,60","279,78","76,10M","0,54%"
"10.12.2020","282,20","276,55","282,20","275,20","75,66M","1,92%"
"09.12.2020","276,89","276,40","279,42","275,87","73,64M","0,51%"
"08.12.2020","275,49","274,50","276,66","271,52","78,86M","0,41%"
"07.12.2020","274,36","269,00","276,13","268,10","94,79M","1,61%"
"04.12.2020","270,00","264,63","270,84","264,50","94,64M","2,61%"
"03.12.2020","263,14","264,50","264,63","260,85","62,24M","-0,35%"
"02.12.2020","264,06","260,05","264,99","258,80","93,45M","1,25%"
"01.12.2020","260,81","250,75","260,99","249,80","132,07M","4,48%"
"30.11.2020","249,63","249,72","251,00","245,98","112,14M","-0,78%"
"27.11.2020","251,59","250,30","252,26","248,03","51,43M","0,60%"
"26.11.2020","250,10","252,30","252,88","247,44","79,92M","-0,72%"
"25.11.2020","251,91","248,00","252,20","246,55","133,40M","1,85%"
"24.11.2020","247,33","241,65","247,85","239,57","84,52M","3,18%"
"23.11.2020","239,70","240,45","243,87","238,52","74,83M","0,12%"
"20.11.2020","239,42","239,58","240,77","236,57","48,80M","-0,35%"
"19.11.2020","240,27","242,50","243,49","237,34","97,14M","-1,01%"
"18.11.2020","242,71","245,10","247,23","242,59","60,09M","-1,22%"
"17.11.2020","245,70","248,00","249,84","243,41","94,92M","-0,92%"
"16.11.2020","247,99","244,14","248,73","244,00","113,95M","2,06%"
"13.11.2020","242,99","242,01","244,14","238,62","106,15M","0,38%"
"12.11.2020","242,08","243,31","245,72","240,22","151,44M","-0,87%"
"11.11.2020","244,20","237,00","245,98","236,89","234,84M","3,43%"
"10.11.2020","236,10","227,00","237,60","226,27","229,60M","3,53%"
"09.11.2020","228,05","220,00","231,30","218,70","217,54M","4,85%"
"06.11.2020","217,50","215,80","218,29","213,00","95,00M","0,37%"
"05.11.2020","216,70","214,40","218,65","211,43","152,55M","3,59%"
"03.11.2020","209,20","205,70","211,11","203,80","90,37M","2,30%"
"02.11.2020","204,50","200,45","204,59","196,15","82,34M","1,75%"
"30.10.2020","200,99","203,62","204,84","200,61","83,66M","-2,23%"
"29.10.2020","205,58","206,50","207,33","203,64","91,51M","0,42%"
"28.10.2020","204,73","206,94","206,94","202,30","70,17M","-1,40%"
"27.10.2020","207,64","211,50","212,29","206,66","61,08M","-1,64%"
"26.10.2020","211,10","213,40","214,45","210,50","58,92M","-1,59%"
"23.10.2020","214,50","210,00","214,73","209,15","75,36M","2,04%"
"22.10.2020","210,21","209,58","211,53","207,84","46,86M","-0,06%"
"21.10.2020","210,33","210,04","213,25","208,90","82,51M","0,38%"
"20.10.2020","209,54","203,00","209,76","202,50","80,92M","3,33%"
"19.10.2020","202,78","201,55","204,00","201,55","47,42M","0,80%"
"16.10.2020","201,17","204,02","204,25","200,50","66,26M","-1,31%"
"15.10.2020","203,85","207,46","207,57","201,95","76,50M","-1,92%"
"14.10.2020","207,83","205,06","208,00","204,78","46,84M","1,37%"
"13.10.2020","205,03","205,92","207,64","204,77","46,02M","-0,56%"
"12.10.2020","206,18","205,97","208,49","204,57","52,32M","0,39%"
"09.10.2020","205,38","208,47","208,96","204,40","65,52M","-1,25%"
"08.10.2020","207,97","211,20","211,43","207,26","49,55M","-1,25%"
"07.10.2020","210,60","211,30","212,66","209,03","62,05M","-0,27%"
"06.10.2020","211,18","209,00","212,99","208,35","87,53M","1,10%"
"05.10.2020","208,89","209,65","210,69","207,72","45,60M","0,04%"
"02.10.2020","208,80","210,40","211,39","206,50","114,32M","-8,11%"
"01.10.2020","227,23","229,08","229,90","226,86","77,83M","-0,83%"
"30.09.2020","229,14","224,50","230,75","223,25","78,60M","1,62%"
"29.09.2020","225,48","228,88","228,88","223,10","90,42M","-1,38%"
"28.09.2020","228,63","228,79","229,55","227,35","64,52M","0,17%"
"25.09.2020","228,24","229,00","229,30","226,25","60,25M","0,03%"
"24.09.2020","228,17","227,63","231,10","225,75","82,00M","-0,14%"
