source	id	title	theme	author	textdate	tags	URL	Author_profession	About_author
Arzamas	429	Как читать «Двух капитанов»  •  	['Литература']		16.06.2017	[]	http://arzamas.academy/mag/429-2cap		
Arzamas	96	«Алиса в Стране чудес»: как выглядел рукописный оригинал книги  •  	['Искусство', 'Литература']		06.08.2015	[]	http://arzamas.academy/mag/96-alisa		
Arzamas	413	Как быть красавицей — 2  •  	['История', 'Антропология']	Ольга Вайнштейн	07.03.2017	['Мода', 'Инструкция', 'XIX век']	http://arzamas.academy/mag/413-bellezza	Доктор филологических наук, ведущий научный сотрудник Института высших гуманитарных исследований имени Е. М. Мелетинского РГГУ	Помимо семиотики одежды, истории повседневной жизни и истории и теории моды, занимается литературой и философией европейского романтизма, методологией гуманитарных наук ХХ века, а также гендерными исследованиями. Основатель и член редколлегии журнала «Теория моды: одежда, тело, культура» и составитель его книжной серии; член редколлегий журналов Fashion Theory: The Journal of Dress, Body & Culture; International Journal Fashion Studies; Critical Studies in Men’s Fashion. Автор книг «Ароматы и запахи в культуре» и несколько раз переиздававшейся «Денди: мода, литература, стиль жизни».
Arzamas	124	Как Маяковского не пустили в крымский клуб  •  	['Литература']		16.09.2015	[]	http://arzamas.academy/mag/124-bayan		
Arzamas	252	Проклятие фараонов и мумии: как возникла египетская готика  •  	['Искусство', 'История', 'Антропология']	Анна Айвазян	23.02.2016	[]	http://arzamas.academy/mag/252-mummy	Историк	Кандидат исторических наук, специалист по колониальной политике европейских держав в Египте.
Arzamas	317	Что такое классический русский балет  •  	['Искусство']	Юлия Яковлева	22.07.2016	[]	http://arzamas.academy/mag/317-balet	Балетный критик, писатель.	Автор книг «Создатели и зрители: русский балет эпохи шедевров», «Мариинский театр. Балет. ХХ век», «Азбука балета», специального выпуска журнала Vogue «Dance in Vogue».
Arzamas	250	Хармс, полная Барби и бесполезность раннего развития  •  	[]	Лиза Биргер	05.02.2016	['Дети']	http://arzamas.academy/mag/250-barbie	Журналист, литературный критик	
Arzamas	313	7 книг об анархизме  •  	['Антропология', 'История']	Андрей Бабицкий	06.07.2016	[]	http://arzamas.academy/mag/313-anarch	Журналист	
Arzamas	209	Три мифа про Юлия Цезаря  •  	['История']	Виктор Сонькин	16.12.2015	[]	http://arzamas.academy/mag/209-caesar	Филолог, переводчик, журналист	Кандидат филологических наук. Лауреат премии «Просветитель» за книгу «Здесь был Рим» (2012). Вместе с Александрой Борисенко <nobr>с 2000-х годов</nobr> ведет на филологическом факультете МГУ семинар по художественному переводу.
Arzamas	144	Инфографика недели: экономика  •  	['История']	Дмитрий Голубовский	15.10.2015	[]	http://arzamas.academy/mag/144-infographic-economy	Журналист, редактор	Директор департамента стикеров и эмодзи Arzamas. Кандидат исторических наук. <nobr>В 2011–2014 годах</nobr> — главный редактор журнала Esquire.
