text_id	link	title	date	author	type	filename
50	https://panorama.pub/5235-rossiya-kak_pishetsa.html	Больше миллиона школьников во время сдачи ЕГЭ написали слово &quot;Россия&quot; с грамматическими ошибками	2018-07-24	Виталий Манн	news	D:\Panorama\texts\50.txt
51	https://panorama.pub/5226-lotereya-uchredila-priz-noch-lyubvi.html	Популярная в Нидерландах лотерея учредила приз &quot;Ночь любви&quot;	2018-07-24	Виталий Манн	news	D:\Panorama\texts\51.txt
52	https://panorama.pub/5229-smi-putin-prochital.html	СМИ: Путин прочитал, что ему советуют пользователи Twitter и &quot;Одноклассников&quot;, и распорядился раздавить интернет бульдозером	2018-07-24	Борис Гонтермахер	news	D:\Panorama\texts\52.txt
53	https://panorama.pub/5211-gosdepartament-ssha-priznal.html	Госдепартамент США признал существование химтрейлов, но заверил в их полной безопасности	2018-07-24	Борис Гонтермахер	news	D:\Panorama\texts\53.txt
54	https://panorama.pub/5210-chingishana-zaderzhali.html	&quot;Чингисхана&quot; с &quot;кешиктенами&quot; задержали при попытке угнать лошадей из Московского зоопарка	2018-07-24	Григорий Касаткин	news	D:\Panorama\texts\54.txt
55	https://panorama.pub/5203-peshehodnoe-metro.html	В Москве построят первое в мире пешеходное метро	2018-07-23	Виталий Манн	news	D:\Panorama\texts\55.txt
56	https://panorama.pub/5195-osvobodit-ot-nalogov-pereselentsev-iz-afriki.html	Муниципалитет норвежского города освободит от уплаты налогов переселенцев из Африки	2018-07-23	Виталий Манн	news	D:\Panorama\texts\56.txt
57	https://panorama.pub/5189-na-folk-festivale-v-irlandii-ispolnili-natsistskij-gimn.html	На фолк-фестивале в Ирландии исполнили нацистский гимн	2018-07-23	Андрей Ренье	news	D:\Panorama\texts\57.txt
58	https://panorama.pub/5178-minzdrav-nazval-kategorii.html	Минздрав назвал категории граждан, которые смогут получить справку об умственной отсталости по упрощённой процедуре	2018-07-22	Борис Гонтермахер	news	D:\Panorama\texts\58.txt
59	https://panorama.pub/5175-v-rossii-poyavyatsya-150-novyh-vuzov-bez-uchebnoj-programmy.html	В России появятся 150 новых вузов без учебной программы	2018-07-22	Григорий Касаткин	news	D:\Panorama\texts\59.txt
60	https://panorama.pub/5169-selo-toropilovo-pereimenuyut-iz-za-blizosti-s-estoniej.html	Село Торопилово переименуют из-за близости с Эстонией	2018-07-22	Виталий Манн	news	D:\Panorama\texts\60.txt
61	https://panorama.pub/5163-chyornyj-kvadrat-ispravili.html	Более 20 лет &quot;Чёрный квадрат&quot; Малевича экспонировался в Третьяковской галерее вверх ногами	2018-07-22	Виталий Манн	news	D:\Panorama\texts\61.txt
62	https://panorama.pub/5156-rimskaya-katolicheskaya-tserkov.html	Римская католическая церковь вернёт прихожанке деньги за неотпущенные терминалом грехи	2018-07-21	Виталий Манн	news	D:\Panorama\texts\62.txt
63	https://panorama.pub/5149-podrostki-izlechilis-vodkoy.html	Подростки, отравившиеся латышскими шпротами, выжили благодаря водке «Каждый День»	2018-07-21	Герман Томилин	news	D:\Panorama\texts\63.txt
64	https://panorama.pub/5146-v-ssha-sud-zapretil.html	Верховный суд США запретил жителям города избирать в мэры белых кандидатов	2018-07-20	Борис Гонтермахер	news	D:\Panorama\texts\64.txt
65	https://panorama.pub/5141-rpts-sozdast-vserossijskij-reestr.html	РПЦ создаст Всероссийский единый реестр атеистов и язычников	2018-07-20	Борис Гонтермахер	news	D:\Panorama\texts\65.txt
66	https://panorama.pub/5133-petrarka_gomofob.html	Гомофобные стихи Петрарки исключили из программы немецких вузов	2018-07-20	Виталий Манн	news	D:\Panorama\texts\66.txt
67	https://panorama.pub/5130-v-ekaterinburge-pamyatnik-leninu.html	В Екатеринбурге памятник Ленину переделали в памятник Егору Гайдару	2018-07-20	Борис Гонтермахер	news	D:\Panorama\texts\67.txt
